req_number,requirement,domain,section,section_title,applicability,start_date,decision,question_type,mandatory,scored
174,The Authorised Vetting Agency reassesses a clearance holder’s eligibility and suitability to hold a security clearance by resolving any doubt in the national interest.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
175,The Authorised Vetting Agency commences the security clearance revalidation process in sufficient time to complete the revalidation before the due date so that the security clearance does not lapse.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
177,"The Sponsoring Entity shares relevant information of security concern, where appropriate with the Authorised Vetting Agency.",PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
178,The Authorised Vetting Agency shares information of security concern about security clearance holders with the Sponsoring Entity.,PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
179,"The Authorised Vetting Agency assesses and responds to information of security concern about security clearance holders, including reports from Sponsoring Entities.",PER,21,Maintenance and Ongoing Assessment,Authorised Vetting Agency,31/10/2024,Retain,Performance,Mandatory,Scored
180,Negative Vetting 2 and higher clearance holders receive appropriate departmental travel briefings when undertaking international personal and work travel.,PER,21,Maintenance and Ongoing Assessment,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
181,"The Chief Security Officer, Chief Information Security Officer (or other relevant security practitioner) is advised prior to separation or transfer of any proposed cessation of employment resulting from misconduct or other adverse reasons.",PER,22,Separation,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
184,"Separating personnel transferring to another Australian Government entity, the entity reports any security concerns (as defined in the Australian Security Intelligence Organisation Act 1979) to the Australian Security Intelligence Organisation.",PER,22,Separation,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
185,A risk assessment is completed to identify any security implications in situations where it is not possible to undertake the required separation procedures.,PER,22,Separation,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
186,"Separating personnel have their access to Australian Government resources withdrawn upon separation or transfer from the entity, including information, technology systems, and resources.",PER,22,Separation,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
189,"Protective security is integrated in the process of planning, selecting, designing and modifying entity facilities for the protection of people, information and resources.",PHYS,23,Physical Security Lifecycle,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
190,"A facility security plan is developed for new facilities, facilities under construction or major refurbishments of existing facilities.",PHYS,23,Physical Security Lifecycle,All entities,31/08/2024,Retain,Performance,Mandatory,Scored
191,Decisions on entity facility locations are informed by considering the site selection factors for Australian Government facilities.,PHYS,23,Physical Security Lifecycle,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
192,"When designing or modifying facilities, the entity secures and controls access to facilities to meet the highest risk level to entity resources in accordance with Security Zone restricted access definitions.",PHYS,23,Physical Security Lifecycle,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
195,Entity facilities are operated and maintained in accordance with Security Zones and Physical Security Measures and Controls.,PHYS,23,Physical Security Lifecycle,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
196,Security Zones One to Four are certified by the Certification Authority in accordance with the PSPF and applicable ASIO Technical Notes before they are used operationally.,PHYS,24,Security Zones,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
198,"Security Zones One to Five are accredited by the Accreditation Authority before they are used operationally, on the basis that the required security controls are certified and the entity determines and accepts the residual risks.",PHYS,24,Security Zones,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
199,Sensitive Compartmented Information Facility areas used to secure and access TOP SECRET systems and security classified compartmented information are accredited by the Australian Signals Directorate before they are used operationally.,PHYS,24,Security Zones,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
200,"Physical security measures are implemented to minimise or remove the risk of information and physical asset resources being made inoperable or inaccessible, or being accessed, used or removed without appropriate authorisation.",PHYS,25,Physical Security Measures and Controls,All entities,31/08/2024,Retain,Performance,Mandatory,Scored
201,"Physical security measures are implemented to protect entity resources, commensurate with the assessed business impact level of their compromise, loss or damage.",PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
202,Physical security measures are implemented to minimise or remove the risk of harm to people.,PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
205,"Access by authorised personnel, vehicles and equipment to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for authorised personnel.",PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
206,Access by visitors to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for visitors.,PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
208,Unauthorised access to Security Zones One to Five is controlled in accordance with the physical security measures and controls for security alarm systems.,PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
209,Security guard arrangements in Security Zones One to Five are established in accordance with the physical security measures and controls for security guards.,PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
210,Technical surveillance countermeasures for Security Zones One to Five are established in accordance with the physical security measures and controls for technical surveillance countermeasures.,PHYS,25,Physical Security Measures and Controls,All entities,31/10/2024,Retain,Performance,Mandatory,Scored
